iter	Passed	Remaining
408	2287	3305
409	2293	3300
410	2298	3294
411	2303	3287
412	2308	3280
413	2313	3274
414	2318	3268
415	2323	3262
416	2328	3255
417	2333	3249
418	2338	3243
419	2344	3237
420	2349	3231
421	2354	3225
422	2359	3219
423	2364	3212
424	2369	3205
425	2374	3199
426	2379	3192
427	2384	3186
428	2389	3179
429	2393	3173
430	2398	3167
431	2403	3160
432	2409	3154
433	2414	3148
434	2420	3144
435	2425	3138
436	2431	3132
437	2436	3125
438	2441	3119
439	2446	3113
440	2451	3107
441	2456	3100
442	2460	3094
443	2465	3087
444	2471	3082
445	2476	3075
446	2481	3069
447	2485	3062
448	2490	3056
449	2495	3050
450	2500	3044
451	2505	3037
452	2510	3031
453	2515	3025
454	2520	3019
455	2525	3012
456	2529	3005
457	2534	2999
458	2539	2993
459	2544	2987
460	2549	2980
461	2554	2974
462	2559	2968
463	2564	2962
464	2569	2956
465	2574	2950
466	2579	2944
467	2585	2938
468	2590	2932
469	2595	2926
470	2600	2920
471	2605	2914
472	2610	2908
473	2616	2903
474	2621	2897
475	2626	2891
476	2631	2885
477	2636	2878
478	2641	2872
479	2646	2866
480	2650	2860
481	2655	2854
482	2660	2847
483	2665	2841
484	2671	2836
485	2676	2830
486	2680	2823
487	2685	2817
488	2690	2811
489	2695	2805
490	2700	2799
491	2705	2792
492	2709	2786
493	2714	2780
494	2719	2774
495	2724	2767
496	2728	2761
497	2733	2755
498	2738	2749
499	2742	2742
500	2747	2736
501	2752	2730
502	2756	2724
503	2761	2717
504	2766	2711
505	2770	2704
506	2775	2698
507	2779	2692
508	2784	2685
509	2789	2679
510	2794	2673
511	2799	2668
512	2804	2662
513	2809	2656
514	2814	2650
515	2819	2644
516	2824	2638
517	2828	2632
518	2833	2626
519	2838	2619
520	2843	2613
521	2847	2607
522	2852	2601
523	2856	2595
524	2861	2589
525	2866	2583
526	2871	2577
527	2876	2571
528	2881	2565
529	2886	2559
530	2890	2553
531	2895	2547
532	2900	2541
533	2904	2535
534	2909	2529
535	2914	2523
536	2919	2517
537	2924	2511
538	2928	2505
539	2933	2499
540	2938	2493
541	2943	2487
542	2947	2481
543	2952	2475
544	2957	2469
545	2962	2463
546	2967	2457
547	2971	2451
548	2976	2445
549	2981	2439
550	2985	2433
551	2990	2427
552	2995	2421
553	3000	2415
554	3005	2409
555	3009	2403
556	3015	2397
557	3020	2392
558	3025	2386
559	3030	2380
560	3034	2374
561	3039	2369
562	3044	2363
563	3050	2357
564	3055	2352
565	3060	2346
566	3065	2340
567	3070	2335
568	3075	2329
569	3080	2324
570	3086	2318
571	3091	2312
572	3096	2307
573	3100	2301
574	3106	2296
575	3111	2290
576	3117	2285
577	3122	2279
578	3126	2273
579	3131	2267
580	3137	2262
581	3142	2257
582	3149	2252
583	3154	2246
584	3160	2242
585	3166	2237
586	3171	2231
587	3176	2225
588	3181	2220
589	3186	2214
590	3191	2208
591	3196	2203
592	3201	2197
593	3206	2191
594	3211	2186
595	3217	2180
596	3222	2175
597	3227	2169
598	3232	2163
599	3237	2158
600	3242	2152
601	3248	2147
602	3253	2141
603	3258	2136
604	3263	2130
605	3268	2124
606	3272	2118
607	3278	2113
608	3283	2108
609	3289	2102
610	3293	2096
611	3298	2091
612	3303	2085
613	3308	2079
614	3313	2074
615	3318	2068
616	3323	2062
617	3328	2057
618	3333	2051
619	3338	2046
620	3343	2040
621	3348	2035
622	3353	2029
623	3358	2023
624	3363	2018
625	3368	2012
626	3374	2007
627	3379	2001
628	3384	1996
629	3389	1990
630	3394	1985
631	3399	1979
632	3404	1973
633	3409	1968
634	3414	1962
635	3419	1957
636	3425	1951
637	3430	1946
638	3435	1940
639	3440	1935
640	3445	1929
641	3450	1924
642	3455	1918
643	3460	1912
644	3465	1907
645	3469	1901
646	3474	1895
647	3479	1890
648	3484	1884
649	3488	1878
650	3493	1872
651	3498	1867
652	3503	1861
653	3508	1856
654	3513	1850
655	3518	1845
656	3523	1839
657	3528	1834
658	3533	1828
659	3538	1823
660	3543	1817
661	3548	1811
662	3553	1806
663	3557	1800
664	3562	1794
665	3567	1788
666	3572	1783
667	3576	1777
668	3581	1771
669	3586	1766
670	3591	1760
671	3596	1755
672	3601	1749
673	3606	1744
674	3611	1738
675	3616	1733
676	3621	1727
677	3626	1722
678	3631	1716
679	3636	1711
680	3640	1705
681	3645	1699
682	3650	1694
683	3655	1688
684	3659	1683
685	3665	1677
686	3669	1672
687	3675	1666
688	3680	1661
689	3685	1655
690	3690	1650
691	3695	1644
692	3700	1639
693	3704	1633
694	3709	1627
695	3714	1622
696	3719	1616
697	3724	1611
698	3729	1605
699	3734	1600
700	3739	1594
701	3744	1589
702	3749	1584
703	3754	1578
704	3759	1573
705	3764	1567
706	3768	1561
707	3773	1556
708	3778	1550
709	3782	1545
710	3787	1539
711	3792	1534
712	3797	1528
713	3802	1523
714	3807	1517
715	3812	1512
716	3817	1506
717	3822	1501
718	3827	1495
719	3831	1490
720	3836	1484
721	3841	1479
722	3845	1473
723	3850	1468
724	3856	1462
725	3862	1457
726	3867	1452
727	3872	1446
728	3877	1441
729	3882	1436
730	3888	1430
731	3893	1425
732	3898	1420
733	3903	1414
734	3908	1409
735	3913	1403
736	3918	1398
737	3922	1392
738	3927	1387
739	3932	1381
740	3938	1376
741	3943	1371
742	3948	1365
743	3953	1360
744	3958	1354
745	3963	1349
746	3968	1344
747	3973	1338
748	3978	1333
749	3983	1327
750	3988	1322
751	3993	1316
752	3998	1311
753	4003	1306
754	4008	1300
755	4013	1295
756	4019	1290
757	4024	1284
758	4029	1279
759	4034	1274
760	4039	1268
761	4044	1263
762	4049	1257
763	4055	1252
764	4059	1247
765	4064	1241
766	4069	1236
767	4074	1230
768	4079	1225
769	4084	1219
770	4089	1214
771	4094	1209
772	4099	1203
773	4104	1198
774	4109	1193
775	4114	1187
776	4119	1182
777	4124	1176
778	4130	1171
779	4135	1166
780	4140	1161
781	4145	1155
782	4151	1150
783	4156	1145
784	4162	1140
785	4168	1134
786	4175	1130
787	4181	1124
788	4186	1119
789	4192	1114
790	4197	1109
791	4202	1103
792	4207	1098
793	4212	1092
794	4217	1087
795	4222	1082
796	4227	1076
797	4231	1071
798	4236	1065
799	4241	1060
800	4246	1055
801	4251	1049
802	4256	1044
803	4261	1038
804	4266	1033
805	4271	1028
806	4276	1022
807	4281	1017
808	4286	1012
809	4291	1006
810	4296	1001
811	4301	995
812	4306	990
813	4311	985
814	4316	979
815	4321	974
816	4327	969
817	4332	963
818	4337	958
819	4342	953
820	4347	947
821	4351	942
822	4356	937
823	4361	931
824	4366	926
825	4371	920
826	4376	915
827	4381	910
828	4387	904
829	4391	899
830	4397	894
831	4402	888
832	4407	883
833	4412	878
834	4416	872
835	4421	867
836	4426	862
837	4431	856
838	4436	851
839	4441	846
840	4446	840
841	4451	835
842	4456	829
843	4461	824
844	4466	819
845	4471	814
846	4476	808
847	4481	803
848	4487	798
849	4492	792
850	4497	787
851	4502	782
852	4507	776
853	4512	771
854	4517	766
855	4522	760
856	4527	755
857	4532	750
858	4537	744
859	4542	739
860	4547	734
861	4552	728
862	4557	723
863	4562	718
864	4567	712
865	4571	707
866	4576	702
867	4581	696
868	4585	691
869	4590	685
870	4595	680
871	4599	675
872	4604	669
873	4608	664
874	4613	659
875	4617	653
876	4622	648
877	4627	643
878	4632	637
879	4637	632
880	4641	627
881	4646	621
882	4651	616
883	4656	611
884	4661	605
885	4666	600
886	4670	595
887	4675	589
888	4680	584
889	4685	579
890	4690	573
891	4694	568
892	4699	563
893	4703	557
894	4707	552
895	4711	546
896	4715	541
897	4720	536
898	4724	530
899	4729	525
900	4733	520
901	4738	514
902	4742	509
903	4747	504
904	4751	498
905	4756	493
906	4761	488
907	4766	482
908	4771	477
909	4776	472
910	4780	467
911	4785	461
912	4789	456
913	4794	451
914	4799	445
915	4804	440
916	4809	435
917	4813	429
918	4818	424
919	4823	419
920	4828	414
921	4833	408
922	4838	403
923	4843	398
924	4848	393
925	4853	387
926	4858	382
927	4863	377
928	4868	372
929	4872	366
930	4877	361
931	4882	356
932	4886	350
933	4891	345
934	4895	340
935	4900	335
936	4904	329
937	4909	324
938	4913	319
939	4918	313
940	4923	308
941	4928	303
942	4932	298
943	4937	292
944	4942	287
945	4947	282
946	4952	277
947	4957	271
948	4962	266
949	4967	261
950	4972	256
951	4977	250
952	4982	245
953	4987	240
954	4992	235
955	4997	230
956	5002	224
957	5007	219
958	5012	214
959	5017	209
960	5022	203
961	5027	198
962	5032	193
963	5037	188
964	5042	182
965	5046	177
966	5051	172
967	5056	167
968	5061	161
969	5066	156
970	5071	151
971	5076	146
972	5081	141
973	5086	135
974	5091	130
975	5096	125
976	5101	120
977	5105	114
978	5110	109
979	5115	104
980	5121	99
981	5126	93
982	5131	88
983	5136	83
984	5141	78
985	5146	73
986	5151	67
987	5156	62
988	5175	57
989	5181	52
990	5186	47
991	5192	41
992	5198	36
993	5204	31
994	5210	26
995	5216	20
996	5221	15
997	5227	10
998	5232	5
999	5237	0
